ID,Peso,Fecha,Hora,Tecnico
N2,5.45,9/12/2025,12:00:00,JULIO
N3,5.41,9/12/2025,12:00:00,JULIO
N5,5.41,9/12/2025,12:00:00,JULIO
N6,5.41,9/12/2025,12:00:00,JULIO
N7,5.35,9/12/2025,12:00:00,JULIO
N8,5.3,9/12/2025,12:00:00,JULIO
N9,5.29,9/12/2025,12:00:00,JULIO
N10,5.23,9/12/2025,12:00:00,JULIO
N11,5.15,9/12/2025,12:00:00,JULIO
N12,5.32,9/12/2025,12:00:00,JULIO
N13,5.31,9/12/2025,12:00:00,JULIO
N14,5.3,9/12/2025,12:00:00,JULIO
N15,5.32,9/12/2025,12:00:00,JULIO
N16,5.19,9/12/2025,12:00:00,JULIO
N17,5.14,9/12/2025,12:00:00,JULIO
N18,5.27,9/12/2025,12:00:00,JULIO
N19,5.32,9/12/2025,12:00:00,JULIO
N21,5.32,9/12/2025,12:00:00,JULIO
N22,5.17,9/12/2025,12:00:00,JULIO
N24,5.25,9/12/2025,12:00:00,JULIO
N25,5.33,9/12/2025,12:00:00,JULIO
N26,5.33,9/12/2025,12:00:00,JULIO
N29,5.08,9/12/2025,12:00:00,JULIO
N30,5.24,9/12/2025,12:00:00,JULIO
N31,5.3,9/12/2025,12:00:00,JULIO
N32,5.31,9/12/2025,12:00:00,JULIO
N35,4.3,9/12/2025,12:00:00,JULIO
N41,5.38,9/12/2025,12:00:00,JULIO
N43,5.48,9/12/2025,12:00:00,JULIO
N45,5.5,9/12/2025,12:00:00,JULIO
N46,5.36,9/12/2025,12:00:00,JULIO
N47,5.43,9/12/2025,12:00:00,JULIO
N50,5.52,9/12/2025,12:00:00,JULIO
N51,5.52,9/12/2025,12:00:00,JULIO
N52,5.36,9/12/2025,12:00:00,JULIO
N53,5.43,9/12/2025,12:00:00,JULIO
N54,5.48,9/12/2025,12:00:00,JULIO
N55,5.52,9/12/2025,12:00:00,JULIO
N56,5.53,9/12/2025,12:00:00,JULIO
N57,5.53,9/12/2025,12:00:00,JULIO
N58,5.39,9/12/2025,12:00:00,JULIO
N59,5.45,9/12/2025,12:00:00,JULIO
N60,5.51,9/12/2025,12:00:00,JULIO
N61,5.55,9/12/2025,12:00:00,JULIO
N62,5.55,9/12/2025,12:00:00,JULIO
N64,5.35,9/12/2025,12:00:00,JULIO
N70,5.33,9/12/2025,12:00:00,JULIO
N72,5.45,9/12/2025,12:00:00,JULIO
E8,5.05,9/12/2025,12:00:00,JULIO
B2,5.56,9/12/2025,12:00:00,JULIO
