Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
2,"50.00","1.42","4.30","472.06","8.60","4.30","18652.22","4.31","1.42"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0142"
"0.0200","0.0000","0.0142"
"0.0400","0.0002","0.0142"
"0.0600","0.0004","0.0142"
"0.0800","0.0011","0.0142"
"0.1000","0.0027","0.0148"
"0.1200","0.0057","0.0166"
"0.1400","0.0087","0.0198"
"0.1600","0.0113","0.0238"
"0.1800","0.0137","0.0274"
"0.2000","0.0157","0.0306"
"0.2200","0.0177","0.0333"
"0.2400","0.0197","0.0358"
"0.2600","0.0215","0.0381"
"0.2800","0.0233","0.0403"
"0.3000","0.0249","0.0424"
"0.3200","0.0266","0.0445"
"0.3400","0.0282","0.0464"
"0.3600","0.0300","0.0484"
"0.3800","0.0315","0.0504"
"0.4000","0.0332","0.0524"
"0.4200","0.0348","0.0543"
"0.4400","0.0366","0.0563"
"0.4600","0.0381","0.0583"
"0.4800","0.0399","0.0603"
"0.5000","0.0417","0.0623"
"0.5200","0.0434","0.0645"
"0.5400","0.0452","0.0666"
"0.5600","0.0470","0.0686"
"0.5800","0.0486","0.0706"
"0.6000","0.0502","0.0726"
"0.6200","0.0518","0.0745"
"0.6400","0.0534","0.0765"
"0.6600","0.0549","0.0783"
"0.6800","0.0565","0.0800"
"0.7000","0.0583","0.0819"
"0.7200","0.0601","0.0839"
"0.7400","0.0619","0.0859"
"0.7600","0.0636","0.0880"
"0.7800","0.0653","0.0901"
"0.8000","0.0669","0.0921"
"0.8200","0.0687","0.0940"
"0.8400","0.0704","0.0960"
"0.8600","0.0719","0.0980"
"0.8800","0.0735","0.0998"
"0.9000","0.0752","0.1016"
"0.9200","0.0767","0.1035"
"0.9400","0.0783","0.1052"
"0.9600","0.0799","0.1070"
"0.9800","0.0816","0.1088"
"1.0000","0.0832","0.1107"
"1.0200","0.0850","0.1127"
"1.0400","0.0868","0.1146"
"1.0600","0.0885","0.1166"
"1.0800","0.0903","0.1187"
"1.1000","0.0921","0.1208"
"1.1200","0.0937","0.1228"
"1.1400","0.0953","0.1247"
"1.1600","0.0969","0.1265"
"1.1800","0.0985","0.1283"
"1.2000","0.1000","0.1300"
"1.2200","0.1016","0.1318"
"1.2400","0.1034","0.1336"
"1.2600","0.1052","0.1356"
"1.2800","0.1070","0.1375"
"1.3000","0.1087","0.1395"
"1.3200","0.1104","0.1415"
"1.3400","0.1119","0.1434"
"1.3600","0.1136","0.1452"
"1.3800","0.1151","0.1471"
"1.4000","0.1168","0.1488"
"1.4200","0.1184","0.1505"
"1.4400","0.1201","0.1523"
"1.4600","0.1216","0.1542"
"1.4800","0.1231","0.1560"
"1.5000","0.1248","0.1577"
"1.5200","0.1264","0.1595"
"1.5400","0.1282","0.1614"
"1.5600","0.1301","0.1632"
"1.5800","0.1319","0.1653"
"1.6000","0.1336","0.1674"
"1.6200","0.1354","0.1693"
"1.6400","0.1371","0.1712"
"1.6600","0.1385","0.1730"
"1.6800","0.1400","0.1747"
"1.7000","0.1415","0.1763"
"1.7200","0.1432","0.1780"
"1.7400","0.1447","0.1798"
"1.7600","0.1464","0.1815"
"1.7800","0.1480","0.1832"
"1.8000","0.1498","0.1851"
"1.8200","0.1516","0.1870"
"1.8400","0.1535","0.1890"
"1.8600","0.1551","0.1910"
"1.8800","0.1568","0.1929"
"1.9000","0.1587","0.1947"
"1.9200","0.1602","0.1966"
"1.9400","0.1619","0.1984"
"1.9600","0.1636","0.2002"
"1.9800","0.1653","0.2021"
"2.0000","0.1668","0.2039"
"2.0200","0.1683","0.2056"
"2.0400","0.1700","0.2073"
"2.0600","0.1717","0.2090"
"2.0800","0.1734","0.2108"
"2.1000","0.1752","0.2127"
"2.1200","0.1770","0.2146"
"2.1400","0.1786","0.2165"
"2.1600","0.1804","0.2184"
"2.1800","0.1819","0.2202"
"2.2000","0.1835","0.2219"
"2.2200","0.1850","0.2235"
"2.2400","0.1868","0.2252"
"2.2600","0.1884","0.2270"
"2.2800","0.1901","0.2288"
"2.3000","0.1917","0.2305"
"2.3200","0.1934","0.2323"
"2.3400","0.1951","0.2341"
"2.3600","0.1968","0.2360"
"2.3800","0.1985","0.2378"
"2.4000","0.2001","0.2395"
"2.4200","0.2018","0.2412"
"2.4400","0.2034","0.2429"
"2.4600","0.2051","0.2447"
"2.4800","0.2066","0.2465"
"2.5000","0.2084","0.2482"
"2.5200","0.2100","0.2499"
"2.5400","0.2116","0.2517"
