Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
7,"50.00","1.63","3.44","543.59","6.88","3.44","23615.89","3.44","1.63"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0113"
"0.0200","0.0001","-0.0113"
"0.0400","0.0002","-0.0113"
"0.0600","0.0004","-0.0113"
"0.0800","0.0011","-0.0112"
"0.1000","0.0028","-0.0105"
"0.1200","0.0058","-0.0081"
"0.1400","0.0089","-0.0038"
"0.1600","0.0117","0.0013"
"0.1800","0.0140","0.0063"
"0.2000","0.0161","0.0104"
"0.2200","0.0179","0.0138"
"0.2400","0.0197","0.0167"
"0.2600","0.0216","0.0196"
"0.2800","0.0234","0.0224"
"0.3000","0.0251","0.0252"
"0.3200","0.0269","0.0280"
"0.3400","0.0286","0.0306"
"0.3600","0.0303","0.0332"
"0.3800","0.0319","0.0358"
"0.4000","0.0334","0.0384"
"0.4200","0.0348","0.0407"
"0.4400","0.0365","0.0430"
"0.4600","0.0381","0.0453"
"0.4800","0.0399","0.0478"
"0.5000","0.0417","0.0505"
"0.5200","0.0434","0.0531"
"0.5400","0.0451","0.0558"
"0.5600","0.0467","0.0584"
"0.5800","0.0485","0.0609"
"0.6000","0.0501","0.0634"
"0.6200","0.0516","0.0658"
"0.6400","0.0534","0.0682"
"0.6600","0.0551","0.0707"
"0.6800","0.0567","0.0732"
"0.7000","0.0583","0.0757"
"0.7200","0.0599","0.0781"
"0.7400","0.0615","0.0804"
"0.7600","0.0632","0.0828"
"0.7800","0.0650","0.0853"
"0.8000","0.0668","0.0878"
"0.8200","0.0686","0.0903"
"0.8400","0.0705","0.0929"
"0.8600","0.0721","0.0955"
"0.8800","0.0737","0.0980"
"0.9000","0.0752","0.1002"
"0.9200","0.0767","0.1023"
"0.9400","0.0783","0.1045"
"0.9600","0.0798","0.1067"
"0.9800","0.0815","0.1088"
"1.0000","0.0832","0.1111"
