Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
23,"50.00","1.47","4.86","488.36","9.71","4.86","17603.16","4.92","1.46"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0281"
"0.0200","0.0000","0.0282"
"0.0400","0.0002","0.0282"
"0.0600","0.0005","0.0282"
"0.0800","0.0014","0.0283"
"0.1000","0.0035","0.0292"
"0.1200","0.0064","0.0318"
"0.1400","0.0092","0.0355"
"0.1600","0.0118","0.0394"
"0.1800","0.0140","0.0430"
"0.2000","0.0161","0.0461"
"0.2200","0.0179","0.0488"
"0.2400","0.0197","0.0511"
"0.2600","0.0214","0.0533"
"0.2800","0.0231","0.0554"
"0.3000","0.0249","0.0572"
"0.3200","0.0266","0.0592"
"0.3400","0.0281","0.0612"
"0.3600","0.0297","0.0630"
"0.3800","0.0314","0.0642"
"0.4000","0.0332","0.0650"
"0.4200","0.0349","0.0659"
"0.4400","0.0368","0.0669"
"0.4600","0.0385","0.0682"
"0.4800","0.0403","0.0698"
"0.5000","0.0419","0.0714"
"0.5200","0.0434","0.0731"
"0.5400","0.0450","0.0746"
"0.5600","0.0465","0.0760"
"0.5800","0.0483","0.0775"
"0.6000","0.0499","0.0792"
"0.6200","0.0515","0.0808"
"0.6400","0.0532","0.0824"
"0.6600","0.0550","0.0842"
"0.6800","0.0568","0.0859"
"0.7000","0.0584","0.0875"
"0.7200","0.0602","0.0892"
"0.7400","0.0619","0.0910"
"0.7600","0.0636","0.0928"
"0.7800","0.0654","0.0947"
"0.8000","0.0669","0.0965"
"0.8200","0.0686","0.0981"
"0.8400","0.0702","0.0996"
"0.8600","0.0718","0.1012"
"0.8800","0.0732","0.1028"
"0.9000","0.0748","0.1044"
"0.9200","0.0765","0.1061"
"0.9400","0.0783","0.1077"
"0.9600","0.0800","0.1096"
"0.9800","0.0819","0.1116"
"1.0000","0.0837","0.1136"
"1.0200","0.0854","0.1153"
"1.0400","0.0871","0.1169"
"1.0600","0.0887","0.1185"
"1.0800","0.0901","0.1203"
"1.1000","0.0917","0.1219"
"1.1200","0.0934","0.1236"
"1.1400","0.0949","0.1254"
"1.1600","0.0966","0.1271"
"1.1800","0.0982","0.1289"
"1.2000","0.1000","0.1307"
"1.2200","0.1018","0.1326"
"1.2400","0.1034","0.1345"
"1.2600","0.1052","0.1363"
"1.2800","0.1068","0.1381"
"1.3000","0.1085","0.1399"
"1.3200","0.1103","0.1418"
"1.3400","0.1119","0.1438"
"1.3600","0.1136","0.1456"
"1.3800","0.1152","0.1474"
"1.4000","0.1168","0.1492"
"1.4200","0.1183","0.1510"
"1.4400","0.1198","0.1525"
"1.4600","0.1216","0.1542"
"1.4800","0.1234","0.1560"
"1.5000","0.1251","0.1579"
"1.5200","0.1269","0.1599"
"1.5400","0.1286","0.1619"
"1.5600","0.1302","0.1638"
"1.5800","0.1320","0.1656"
"1.6000","0.1335","0.1675"
"1.6200","0.1351","0.1691"
"1.6400","0.1366","0.1706"
"1.6600","0.1382","0.1723"
"1.6800","0.1398","0.1741"
"1.7000","0.1414","0.1759"
"1.7200","0.1432","0.1777"
"1.7400","0.1451","0.1796"
"1.7600","0.1469","0.1816"
"1.7800","0.1486","0.1836"
"1.8000","0.1503","0.1855"
"1.8200","0.1521","0.1874"
"1.8400","0.1537","0.1892"
"1.8600","0.1554","0.1909"
"1.8800","0.1568","0.1926"
"1.9000","0.1584","0.1942"
"1.9200","0.1601","0.1959"
"1.9400","0.1616","0.1977"
"1.9600","0.1632","0.1995"
"1.9800","0.1648","0.2012"
"2.0000","0.1666","0.2029"
"2.0200","0.1683","0.2048"
"2.0400","0.1700","0.2067"
"2.0600","0.1719","0.2086"
"2.0800","0.1737","0.2105"
"2.1000","0.1753","0.2125"
"2.1200","0.1770","0.2144"
"2.1400","0.1786","0.2162"
"2.1600","0.1802","0.2179"
"2.1800","0.1818","0.2195"
"2.2000","0.1836","0.2212"
"2.2200","0.1851","0.2230"
"2.2400","0.1866","0.2248"
"2.2600","0.1883","0.2264"
"2.2800","0.1901","0.2282"
"2.3000","0.1916","0.2300"
"2.3200","0.1933","0.2317"
"2.3400","0.1950","0.2335"
"2.3600","0.1968","0.2353"
"2.3800","0.1985","0.2372"
"2.4000","0.2002","0.2391"
"2.4200","0.2019","0.2409"
"2.4400","0.2035","0.2427"
"2.4600","0.2052","0.2444"
"2.4800","0.2067","0.2462"
"2.5000","0.2082","0.2479"
"2.5200","0.2099","0.2495"
"2.5400","0.2117","0.2511"
"2.5600","0.2134","0.2529"
"2.5800","0.2152","0.2548"
"2.6000","0.2171","0.2568"
"2.6200","0.2188","0.2588"
"2.6400","0.2204","0.2607"
"2.6600","0.2221","0.2624"
"2.6800","0.2236","0.2641"
"2.7000","0.2251","0.2657"
"2.7200","0.2268","0.2672"
"2.7400","0.2284","0.2689"
"2.7600","0.2300","0.2707"
"2.7800","0.2316","0.2724"
"2.8000","0.2333","0.2740"
"2.8200","0.2350","0.2758"
"2.8400","0.2367","0.2775"
"2.8600","0.2384","0.2793"
"2.8800","0.2401","0.2811"
"2.9000","0.2418","0.2830"
"2.9200","0.2435","0.2848"
"2.9400","0.2453","0.2866"
"2.9600","0.2469","0.2884"
"2.9800","0.2485","0.2902"
"3.0000","0.2502","0.2919"
"3.0200","0.2517","0.2935"
"3.0400","0.2531","0.2951"
"3.0600","0.2546","0.2965"
"3.0800","0.2563","0.2980"
"3.1000","0.2581","0.2996"
"3.1200","0.2597","0.3014"
"3.1400","0.2616","0.3033"
"3.1600","0.2634","0.3052"
"3.1800","0.2650","0.3070"
"3.2000","0.2668","0.3088"
"3.2200","0.2683","0.3106"
"3.2400","0.2700","0.3123"
"3.2600","0.2716","0.3139"
"3.2800","0.2734","0.3157"
"3.3000","0.2748","0.3174"
"3.3200","0.2765","0.3190"
"3.3400","0.2783","0.3206"
"3.3600","0.2799","0.3224"
"3.3800","0.2816","0.3241"
"3.4000","0.2833","0.3259"
"3.4200","0.2851","0.3277"
"3.4400","0.2869","0.3296"
"3.4600","0.2886","0.3313"
"3.4800","0.2904","0.3332"
"3.5000","0.2921","0.3350"
"3.5200","0.2936","0.3367"
"3.5400","0.2951","0.3382"
"3.5600","0.2967","0.3398"
"3.5800","0.2982","0.3413"
"3.6000","0.2999","0.3427"
"3.6200","0.3016","0.3444"
"3.6400","0.3034","0.3462"
"3.6600","0.3052","0.3480"
"3.6800","0.3071","0.3499"
"3.7000","0.3087","0.3518"
"3.7200","0.3104","0.3535"
"3.7400","0.3120","0.3552"
"3.7600","0.3136","0.3568"
"3.7800","0.3152","0.3584"
"3.8000","0.3169","0.3599"
"3.8200","0.3185","0.3615"
"3.8400","0.3200","0.3632"
"3.8600","0.3216","0.3648"
"3.8800","0.3232","0.3663"
"3.9000","0.3249","0.3678"
"3.9200","0.3265","0.3695"
"3.9400","0.3282","0.3711"
"3.9600","0.3301","0.3728"
"3.9800","0.3317","0.3746"
"4.0000","0.3336","0.3764"
"4.0200","0.3353","0.3782"
"4.0400","0.3369","0.3799"
"4.0600","0.3385","0.3816"
"4.0800","0.3401","0.3831"
"4.1000","0.3418","0.3847"
