Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
20,"50.00","1.46","5.16","485.69","10.32","5.16","20245.87","5.23","1.46"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0073"
"0.0200","0.0000","-0.0073"
"0.0400","0.0002","-0.0072"
"0.0600","0.0004","-0.0072"
"0.0800","0.0009","-0.0072"
"0.1000","0.0026","-0.0067"
"0.1200","0.0054","-0.0049"
"0.1400","0.0087","-0.0019"
"0.1600","0.0116","-0.0005"
"0.1800","0.0139","-0.0020"
"0.2000","0.0161","-0.0036"
"0.2200","0.0179","-0.0034"
"0.2400","0.0196","-0.0021"
"0.2600","0.0214","-0.0013"
"0.2800","0.0231","-0.0010"
"0.3000","0.0248","-0.0006"
"0.3200","0.0264","-0.0003"
"0.3400","0.0282","-0.0002"
"0.3600","0.0300","0.0003"
"0.3800","0.0318","0.0011"
"0.4000","0.0336","0.0025"
"0.4200","0.0354","0.0042"
"0.4400","0.0370","0.0061"
"0.4600","0.0385","0.0078"
"0.4800","0.0401","0.0093"
"0.5000","0.0417","0.0106"
"0.5200","0.0432","0.0118"
"0.5400","0.0449","0.0132"
"0.5600","0.0466","0.0150"
"0.5800","0.0483","0.0170"
"0.6000","0.0502","0.0191"
"0.6200","0.0519","0.0211"
"0.6400","0.0536","0.0231"
"0.6600","0.0552","0.0249"
"0.6800","0.0570","0.0268"
"0.7000","0.0586","0.0287"
"0.7200","0.0602","0.0306"
"0.7400","0.0620","0.0326"
"0.7600","0.0636","0.0346"
"0.7800","0.0652","0.0366"
"0.8000","0.0668","0.0385"
"0.8200","0.0684","0.0404"
"0.8400","0.0700","0.0422"
"0.8600","0.0715","0.0441"
"0.8800","0.0733","0.0460"
"0.9000","0.0751","0.0481"
"0.9200","0.0767","0.0502"
"0.9400","0.0786","0.0523"
"0.9600","0.0803","0.0545"
"0.9800","0.0818","0.0566"
"1.0000","0.0835","0.0585"
"1.0200","0.0851","0.0604"
"1.0400","0.0867","0.0624"
"1.0600","0.0882","0.0645"
"1.0800","0.0900","0.0664"
"1.1000","0.0917","0.0685"
"1.1200","0.0935","0.0707"
"1.1400","0.0953","0.0730"
"1.1600","0.0970","0.0753"
"1.1800","0.0986","0.0776"
"1.2000","0.1002","0.0797"
"1.2200","0.1020","0.0818"
"1.2400","0.1035","0.0838"
"1.2600","0.1052","0.0859"
"1.2800","0.1070","0.0880"
"1.3000","0.1086","0.0902"
"1.3200","0.1101","0.0924"
"1.3400","0.1117","0.0943"
"1.3600","0.1132","0.0962"
"1.3800","0.1149","0.0981"
"1.4000","0.1165","0.1002"
"1.4200","0.1184","0.1023"
"1.4400","0.1201","0.1046"
"1.4600","0.1220","0.1068"
"1.4800","0.1237","0.1090"
"1.5000","0.1254","0.1113"
"1.5200","0.1269","0.1135"
"1.5400","0.1284","0.1155"
"1.5600","0.1300","0.1174"
"1.5800","0.1315","0.1192"
"1.6000","0.1330","0.1211"
"1.6200","0.1347","0.1229"
"1.6400","0.1365","0.1250"
"1.6600","0.1381","0.1271"
"1.6800","0.1399","0.1292"
"1.7000","0.1415","0.1313"
"1.7200","0.1432","0.1334"
"1.7400","0.1450","0.1355"
"1.7600","0.1467","0.1376"
"1.7800","0.1484","0.1398"
"1.8000","0.1502","0.1419"
"1.8200","0.1519","0.1439"
"1.8400","0.1536","0.1459"
"1.8600","0.1551","0.1479"
"1.8800","0.1568","0.1495"
"1.9000","0.1583","0.1510"
"1.9200","0.1600","0.1527"
"1.9400","0.1616","0.1545"
"1.9600","0.1635","0.1565"
"1.9800","0.1653","0.1588"
"2.0000","0.1672","0.1612"
"2.0200","0.1689","0.1635"
"2.0400","0.1705","0.1657"
"2.0600","0.1719","0.1676"
"2.0800","0.1734","0.1694"
"2.1000","0.1751","0.1711"
"2.1200","0.1766","0.1730"
"2.1400","0.1781","0.1749"
"2.1600","0.1799","0.1767"
"2.1800","0.1817","0.1788"
"2.2000","0.1835","0.1810"
"2.2200","0.1851","0.1832"
"2.2400","0.1869","0.1853"
"2.2600","0.1885","0.1874"
"2.2800","0.1903","0.1894"
"2.3000","0.1920","0.1915"
"2.3200","0.1936","0.1936"
"2.3400","0.1951","0.1956"
"2.3600","0.1969","0.1975"
"2.3800","0.1985","0.1994"
"2.4000","0.2000","0.2014"
"2.4200","0.2015","0.2033"
"2.4400","0.2032","0.2051"
"2.4600","0.2048","0.2069"
"2.4800","0.2065","0.2089"
"2.5000","0.2085","0.2110"
"2.5200","0.2103","0.2133"
"2.5400","0.2121","0.2156"
"2.5600","0.2139","0.2179"
"2.5800","0.2155","0.2200"
"2.6000","0.2169","0.2219"
"2.6200","0.2184","0.2236"
"2.6400","0.2201","0.2254"
"2.6600","0.2216","0.2272"
"2.6800","0.2231","0.2290"
"2.7000","0.2249","0.2309"
"2.7200","0.2267","0.2329"
"2.7400","0.2284","0.2351"
"2.7600","0.2302","0.2372"
"2.7800","0.2320","0.2394"
"2.8000","0.2336","0.2415"
"2.8200","0.2353","0.2435"
"2.8400","0.2369","0.2455"
"2.8600","0.2385","0.2474"
"2.8800","0.2400","0.2492"
"2.9000","0.2417","0.2510"
"2.9200","0.2433","0.2530"
"2.9400","0.2450","0.2550"
"2.9600","0.2465","0.2568"
"2.9800","0.2482","0.2587"
"3.0000","0.2499","0.2606"
"3.0200","0.2517","0.2626"
"3.0400","0.2535","0.2647"
"3.0600","0.2551","0.2668"
"3.0800","0.2568","0.2688"
"3.1000","0.2585","0.2708"
"3.1200","0.2601","0.2727"
"3.1400","0.2616","0.2746"
"3.1600","0.2631","0.2764"
"3.1800","0.2649","0.2782"
"3.2000","0.2665","0.2801"
"3.2200","0.2681","0.2820"
"3.2400","0.2699","0.2839"
"3.2600","0.2716","0.2858"
"3.2800","0.2734","0.2879"
