Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
24,"50.00","1.13","5.45","378.20","10.90","5.45","13730.19","5.45","1.13"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0201"
"0.0200","0.0000","-0.0200"
"0.0400","0.0002","-0.0200"
"0.0600","0.0004","-0.0200"
"0.0800","0.0009","-0.0199"
"0.1000","0.0028","-0.0195"
"0.1200","0.0057","-0.0181"
"0.1400","0.0089","-0.0155"
"0.1600","0.0116","-0.0124"
"0.1800","0.0139","-0.0096"
"0.2000","0.0161","-0.0074"
"0.2200","0.0179","-0.0060"
"0.2400","0.0198","-0.0051"
"0.2600","0.0215","-0.0045"
"0.2800","0.0233","-0.0040"
"0.3000","0.0250","-0.0038"
"0.3200","0.0268","-0.0036"
"0.3400","0.0286","-0.0034"
"0.3600","0.0303","-0.0031"
"0.3800","0.0320","-0.0024"
"0.4000","0.0335","-0.0015"
"0.4200","0.0352","-0.0005"
"0.4400","0.0366","0.0003"
"0.4600","0.0381","0.0010"
"0.4800","0.0398","0.0016"
"0.5000","0.0414","0.0022"
"0.5200","0.0432","0.0028"
"0.5400","0.0450","0.0033"
"0.5600","0.0469","0.0035"
"0.5800","0.0486","0.0036"
"0.6000","0.0503","0.0039"
"0.6200","0.0521","0.0046"
"0.6400","0.0536","0.0058"
"0.6600","0.0551","0.0070"
"0.6800","0.0567","0.0083"
"0.7000","0.0584","0.0095"
"0.7200","0.0600","0.0106"
"0.7400","0.0615","0.0117"
"0.7600","0.0633","0.0127"
"0.7800","0.0649","0.0138"
"0.8000","0.0666","0.0150"
"0.8200","0.0684","0.0163"
"0.8400","0.0701","0.0177"
"0.8600","0.0719","0.0192"
"0.8800","0.0737","0.0207"
"0.9000","0.0754","0.0222"
"0.9200","0.0770","0.0236"
"0.9400","0.0785","0.0249"
"0.9600","0.0800","0.0262"
"0.9800","0.0817","0.0275"
"1.0000","0.0832","0.0287"
"1.0200","0.0848","0.0299"
"1.0400","0.0865","0.0311"
"1.0600","0.0883","0.0323"
"1.0800","0.0901","0.0335"
"1.1000","0.0918","0.0348"
"1.1200","0.0935","0.0361"
"1.1400","0.0950","0.0375"
"1.1600","0.0967","0.0388"
"1.1800","0.0983","0.0401"
"1.2000","0.0999","0.0413"
"1.2200","0.1015","0.0425"
"1.2400","0.1032","0.0437"
"1.2600","0.1047","0.0450"
"1.2800","0.1064","0.0462"
"1.3000","0.1081","0.0476"
"1.3200","0.1098","0.0490"
