Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
1,"50.00","1.33","5.83","444.89","11.67","5.83","16114.35","5.96","1.33"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0177"
"0.0200","0.0000","-0.0177"
"0.0400","0.0000","-0.0177"
"0.0600","0.0004","-0.0177"
"0.0800","0.0007","-0.0176"
"0.1000","0.0014","-0.0174"
"0.1200","0.0026","-0.0167"
"0.1400","0.0044","-0.0155"
"0.1600","0.0070","-0.0134"
"0.1800","0.0098","-0.0106"
"0.2000","0.0127","-0.0071"
"0.2200","0.0155","-0.0034"
"0.2400","0.0179","0.0001"
"0.2600","0.0203","0.0032"
"0.2800","0.0223","0.0059"
"0.3000","0.0242","0.0083"
"0.3200","0.0259","0.0103"
"0.3400","0.0275","0.0121"
"0.3600","0.0292","0.0139"
"0.3800","0.0309","0.0157"
"0.4000","0.0327","0.0176"
"0.4200","0.0346","0.0195"
"0.4400","0.0362","0.0216"
"0.4600","0.0379","0.0235"
"0.4800","0.0397","0.0253"
"0.5000","0.0414","0.0272"
"0.5200","0.0431","0.0291"
"0.5400","0.0450","0.0310"
"0.5600","0.0466","0.0329"
"0.5800","0.0484","0.0348"
"0.6000","0.0501","0.0366"
"0.6200","0.0517","0.0384"
"0.6400","0.0531","0.0401"
"0.6600","0.0548","0.0417"
"0.6800","0.0564","0.0433"
"0.7000","0.0580","0.0450"
"0.7200","0.0596","0.0467"
"0.7400","0.0614","0.0485"
"0.7600","0.0633","0.0503"
"0.7800","0.0649","0.0522"
"0.8000","0.0667","0.0541"
"0.8200","0.0685","0.0560"
"0.8400","0.0700","0.0578"
"0.8600","0.0718","0.0595"
"0.8800","0.0735","0.0613"
"0.9000","0.0752","0.0631"
"0.9200","0.0769","0.0648"
"0.9400","0.0785","0.0665"
"0.9600","0.0800","0.0682"
"0.9800","0.0816","0.0698"
"1.0000","0.0832","0.0714"
"1.0200","0.0850","0.0731"
"1.0400","0.0868","0.0748"
"1.0600","0.0884","0.0766"
"1.0800","0.0903","0.0785"
"1.1000","0.0921","0.0804"
"1.1200","0.0939","0.0822"
"1.1400","0.0956","0.0841"
"1.1600","0.0970","0.0859"
"1.1800","0.0986","0.0875"
"1.2000","0.1001","0.0889"
"1.2200","0.1018","0.0904"
"1.2400","0.1033","0.0920"
"1.2600","0.1048","0.0936"
"1.2800","0.1066","0.0951"
"1.3000","0.1083","0.0968"
"1.3200","0.1100","0.0986"
"1.3400","0.1117","0.1003"
