Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
6,"50.00","1.34","5.47","446.82","10.93","5.47","16737.24","5.64","1.34"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0364"
"0.0200","0.0000","-0.0363"
"0.0400","0.0002","-0.0363"
"0.0600","0.0005","-0.0364"
"0.0800","0.0013","-0.0363"
"0.1000","0.0033","-0.0354"
"0.1200","0.0063","-0.0332"
"0.1400","0.0091","-0.0297"
"0.1600","0.0116","-0.0258"
"0.1800","0.0139","-0.0224"
"0.2000","0.0161","-0.0194"
"0.2200","0.0182","-0.0167"
"0.2400","0.0201","-0.0142"
"0.2600","0.0218","-0.0120"
"0.2800","0.0236","-0.0099"
"0.3000","0.0251","-0.0080"
"0.3200","0.0267","-0.0061"
"0.3400","0.0283","-0.0044"
"0.3600","0.0300","-0.0025"
"0.3800","0.0315","-0.0007"
"0.4000","0.0332","0.0012"
"0.4200","0.0349","0.0030"
"0.4400","0.0366","0.0049"
"0.4600","0.0382","0.0068"
"0.4800","0.0400","0.0087"
"0.5000","0.0417","0.0107"
"0.5200","0.0434","0.0127"
"0.5400","0.0452","0.0147"
"0.5600","0.0469","0.0166"
"0.5800","0.0485","0.0184"
"0.6000","0.0502","0.0201"
"0.6200","0.0518","0.0219"
"0.6400","0.0534","0.0237"
"0.6600","0.0548","0.0253"
"0.6800","0.0564","0.0268"
"0.7000","0.0581","0.0285"
"0.7200","0.0597","0.0303"
"0.7400","0.0615","0.0321"
"0.7600","0.0633","0.0340"
"0.7800","0.0650","0.0359"
"0.8000","0.0667","0.0378"
"0.8200","0.0684","0.0397"
"0.8400","0.0699","0.0414"
"0.8600","0.0714","0.0431"
"0.8800","0.0732","0.0447"
"0.9000","0.0748","0.0465"
"0.9200","0.0764","0.0483"
"0.9400","0.0782","0.0500"
"0.9600","0.0798","0.0518"
"0.9800","0.0816","0.0537"
"1.0000","0.0832","0.0555"
"1.0200","0.0850","0.0573"
"1.0400","0.0868","0.0592"
"1.0600","0.0885","0.0611"
"1.0800","0.0903","0.0630"
"1.1000","0.0921","0.0649"
"1.1200","0.0936","0.0668"
"1.1400","0.0952","0.0685"
"1.1600","0.0968","0.0701"
"1.1800","0.0982","0.0717"
"1.2000","0.0999","0.0733"
"1.2200","0.1015","0.0749"
"1.2400","0.1033","0.0766"
"1.2600","0.1050","0.0785"
"1.2800","0.1068","0.0803"
"1.3000","0.1086","0.0822"
"1.3200","0.1103","0.0841"
"1.3400","0.1119","0.0860"
"1.3600","0.1137","0.0877"
"1.3800","0.1152","0.0894"
"1.4000","0.1168","0.0911"
"1.4200","0.1185","0.0927"
"1.4400","0.1201","0.0944"
"1.4600","0.1216","0.0960"
"1.4800","0.1232","0.0976"
"1.5000","0.1248","0.0992"
"1.5200","0.1264","0.1009"
"1.5400","0.1281","0.1026"
"1.5600","0.1300","0.1043"
"1.5800","0.1317","0.1062"
"1.6000","0.1335","0.1081"
"1.6200","0.1354","0.1099"
"1.6400","0.1371","0.1118"
"1.6600","0.1386","0.1136"
"1.6800","0.1402","0.1152"
"1.7000","0.1418","0.1168"
"1.7200","0.1433","0.1183"
"1.7400","0.1449","0.1198"
"1.7600","0.1465","0.1213"
"1.7800","0.1483","0.1230"
"1.8000","0.1500","0.1248"
"1.8200","0.1518","0.1266"
"1.8400","0.1536","0.1284"
"1.8600","0.1552","0.1303"
"1.8800","0.1569","0.1320"
"1.9000","0.1585","0.1336"
"1.9200","0.1601","0.1353"
"1.9400","0.1617","0.1369"
"1.9600","0.1634","0.1385"
"1.9800","0.1652","0.1401"
"2.0000","0.1666","0.1418"
"2.0200","0.1681","0.1434"
"2.0400","0.1698","0.1449"
"2.0600","0.1714","0.1465"
"2.0800","0.1732","0.1481"
"2.1000","0.1751","0.1498"
"2.1200","0.1767","0.1516"
"2.1400","0.1785","0.1535"
"2.1600","0.1803","0.1553"
"2.1800","0.1819","0.1570"
"2.2000","0.1833","0.1587"
"2.2200","0.1849","0.1601"
"2.2400","0.1865","0.1615"
"2.2600","0.1881","0.1631"
"2.2800","0.1896","0.1646"
"2.3000","0.1914","0.1662"
"2.3200","0.1931","0.1678"
"2.3400","0.1948","0.1695"
"2.3600","0.1966","0.1712"
"2.3800","0.1983","0.1730"
"2.4000","0.2000","0.1747"
"2.4200","0.2016","0.1764"
"2.4400","0.2034","0.1780"
"2.4600","0.2051","0.1797"
"2.4800","0.2067","0.1814"
"2.5000","0.2085","0.1830"
"2.5200","0.2101","0.1847"
"2.5400","0.2117","0.1863"
"2.5600","0.2132","0.1878"
"2.5800","0.2150","0.1893"
"2.6000","0.2166","0.1909"
"2.6200","0.2184","0.1926"
"2.6400","0.2202","0.1943"
"2.6600","0.2219","0.1961"
"2.6800","0.2237","0.1978"
"2.7000","0.2254","0.1995"
"2.7200","0.2269","0.2012"
"2.7400","0.2284","0.2027"
"2.7600","0.2300","0.2041"
"2.7800","0.2316","0.2055"
"2.8000","0.2333","0.2071"
"2.8200","0.2349","0.2086"
"2.8400","0.2367","0.2102"
"2.8600","0.2385","0.2119"
"2.8800","0.2401","0.2136"
"2.9000","0.2419","0.2153"
"2.9200","0.2435","0.2169"
"2.9400","0.2451","0.2185"
"2.9600","0.2467","0.2199"
"2.9800","0.2485","0.2215"
"3.0000","0.2500","0.2231"
"3.0200","0.2516","0.2247"
"3.0400","0.2533","0.2261"
"3.0600","0.2550","0.2277"
"3.0800","0.2565","0.2293"
"3.1000","0.2582","0.2307"
"3.1200","0.2598","0.2322"
"3.1400","0.2616","0.2339"
"3.1600","0.2634","0.2355"
"3.1800","0.2652","0.2372"
"3.2000","0.2669","0.2390"
"3.2200","0.2687","0.2407"
"3.2400","0.2705","0.2424"
"3.2600","0.2719","0.2441"
"3.2800","0.2734","0.2454"
"3.3000","0.2750","0.2467"
"3.3200","0.2767","0.2482"
"3.3400","0.2781","0.2497"
"3.3600","0.2798","0.2512"
"3.3800","0.2816","0.2526"
"3.4000","0.2832","0.2541"
"3.4200","0.2849","0.2558"
"3.4400","0.2866","0.2575"
"3.4600","0.2884","0.2591"
"3.4800","0.2901","0.2607"
"3.5000","0.2917","0.2623"
"3.5200","0.2935","0.2640"
"3.5400","0.2950","0.2656"
"3.5600","0.2967","0.2671"
"3.5800","0.2984","0.2685"
"3.6000","0.3000","0.2701"
"3.6200","0.3015","0.2716"
"3.6400","0.3030","0.2730"
"3.6600","0.3047","0.2744"
"3.6800","0.3064","0.2758"
"3.7000","0.3080","0.2773"
"3.7200","0.3098","0.2789"
"3.7400","0.3115","0.2806"
"3.7600","0.3133","0.2823"
"3.7800","0.3151","0.2839"
"3.8000","0.3167","0.2856"
"3.8200","0.3182","0.2871"
"3.8400","0.3198","0.2885"
"3.8600","0.3216","0.2900"
"3.8800","0.3232","0.2915"
"3.9000","0.3249","0.2930"
"3.9200","0.3267","0.2946"
"3.9400","0.3283","0.2962"
"3.9600","0.3300","0.2977"
"3.9800","0.3316","0.2993"
"4.0000","0.3334","0.3008"
"4.0200","0.3349","0.3023"
"4.0400","0.3368","0.3039"
"4.0600","0.3386","0.3055"
"4.0800","0.3404","0.3072"
"4.1000","0.3420","0.3088"
"4.1200","0.3437","0.3104"
"4.1400","0.3452","0.3119"
"4.1600","0.3466","0.3133"
"4.1800","0.3481","0.3146"
"4.2000","0.3498","0.3159"
"4.2200","0.3516","0.3173"
"4.2400","0.3533","0.3190"
"4.2600","0.3552","0.3207"
"4.2800","0.3569","0.3224"
"4.3000","0.3588","0.3240"
"4.3200","0.3604","0.3256"
"4.3400","0.3620","0.3272"
"4.3600","0.3635","0.3286"
"4.3800","0.3650","0.3299"
"4.4000","0.3667","0.3312"
"4.4200","0.3682","0.3326"
"4.4400","0.3699","0.3340"
"4.4600","0.3715","0.3355"
"4.4800","0.3733","0.3370"
"4.5000","0.3748","0.3385"
"4.5200","0.3766","0.3400"
"4.5400","0.3782","0.3414"
"4.5600","0.3799","0.3429"
"4.5800","0.3817","0.3445"
"4.6000","0.3834","0.3460"
"4.6200","0.3851","0.3476"
"4.6400","0.3867","0.3491"
"4.6600","0.3885","0.3506"
"4.6800","0.3901","0.3522"
"4.7000","0.3916","0.3536"
"4.7200","0.3932","0.3549"
"4.7400","0.3949","0.3563"
"4.7600","0.3967","0.3577"
"4.7800","0.3984","0.3593"
"4.8000","0.4003","0.3609"
"4.8200","0.4021","0.3626"
"4.8400","0.4037","0.3643"
"4.8600","0.4055","0.3658"
"4.8800","0.4071","0.3673"
"4.9000","0.4085","0.3687"
"4.9200","0.4101","0.3699"
"4.9400","0.4118","0.3712"
"4.9600","0.4132","0.3726"
"4.9800","0.4148","0.3739"
"5.0000","0.4166","0.3752"
"5.0200","0.4183","0.3767"
"5.0400","0.4199","0.3782"
"5.0600","0.4217","0.3797"
"5.0800","0.4233","0.3812"
"5.1000","0.4250","0.3827"
"5.1200","0.4268","0.3841"
"5.1400","0.4285","0.3856"
"5.1600","0.4300","0.3871"
"5.1800","0.4316","0.3884"
"5.2000","0.4333","0.3897"
"5.2200","0.4348","0.3911"
"5.2400","0.4362","0.3923"
"5.2600","0.4379","0.3935"
"5.2800","0.4396","0.3949"
"5.3000","0.4414","0.3964"
"5.3200","0.4433","0.3980"
"5.3400","0.4452","0.3996"
"5.3600","0.4470","0.4014"
"5.3800","0.4487","0.4030"
"5.4000","0.4504","0.4045"
"5.4200","0.4519","0.4059"
"5.4400","0.4533","0.4071"
"5.4600","0.4550","0.4083"
"5.4800","0.4568","0.4096"
"5.5000","0.4583","0.4111"
"5.5200","0.4601","0.4124"
"5.5400","0.4617","0.4138"
"5.5600","0.4634","0.4153"
"5.5800","0.4650","0.4168"
"5.6000","0.4668","0.4181"
"5.6200","0.4686","0.4195"
"5.6400","0.4703","0.4210"
"5.6600","0.4720","0.4225"
"5.6800","0.4738","0.4240"
"5.7000","0.4753","0.4255"
"5.7200","0.4768","0.4268"
"5.7400","0.4785","0.4280"
"5.7600","0.4799","0.4293"
"5.7800","0.4814","0.4305"
"5.8000","0.4831","0.4317"
"5.8200","0.4849","0.4330"
"5.8400","0.4865","0.4345"
"5.8600","0.4884","0.4360"
"5.8800","0.4903","0.4375"
"5.9000","0.4919","0.4392"
"5.9200","0.4937","0.4407"
"5.9400","0.4954","0.4421"
"5.9600","0.4968","0.4435"
"5.9800","0.4983","0.4447"
"6.0000","0.4998","0.4458"
"6.0200","0.5016","0.4470"
"6.0400","0.5033","0.4484"
"6.0600","0.5049","0.4498"
"6.0800","0.5066","0.4512"
"6.1000","0.5082","0.4525"
"6.1200","0.5099","0.4539"
"6.1400","0.5117","0.4553"
"6.1600","0.5134","0.4567"
"6.1800","0.5152","0.4581"
"6.2000","0.5170","0.4596"
"6.2200","0.5187","0.4612"
"6.2400","0.5203","0.4626"
"6.2600","0.5219","0.4639"
"6.2800","0.5235","0.4651"
"6.3000","0.5250","0.4664"
"6.3200","0.5265","0.4676"
"6.3400","0.5282","0.4687"
"6.3600","0.5298","0.4700"
"6.3800","0.5316","0.4713"
"6.4000","0.5334","0.4728"
"6.4200","0.5351","0.4742"
"6.4400","0.5368","0.4758"
"6.4600","0.5385","0.4772"
"6.4800","0.5401","0.4785"
"6.5000","0.5418","0.4798"
"6.5200","0.5433","0.4810"
"6.5400","0.5449","0.4822"
"6.5600","0.5466","0.4834"
"6.5800","0.5481","0.4847"
"6.6000","0.5498","0.4860"
"6.6200","0.5514","0.4872"
"6.6400","0.5531","0.4885"
"6.6600","0.5547","0.4899"
"6.6800","0.5565","0.4912"
"6.7000","0.5583","0.4926"
"6.7200","0.5601","0.4940"
"6.7400","0.5618","0.4955"
"6.7600","0.5636","0.4969"
"6.7800","0.5651","0.4983"
"6.8000","0.5667","0.4996"
"6.8200","0.5682","0.5007"
"6.8400","0.5699","0.5019"
"6.8600","0.5714","0.5030"
"6.8800","0.5730","0.5042"
"6.9000","0.5749","0.5055"
"6.9200","0.5767","0.5069"
"6.9400","0.5785","0.5084"
"6.9600","0.5804","0.5099"
"6.9800","0.5819","0.5114"
"7.0000","0.5835","0.5127"
"7.0200","0.5852","0.5139"
"7.0400","0.5869","0.5152"
"7.0600","0.5885","0.5164"
"7.0800","0.5903","0.5177"
"7.1000","0.5920","0.5190"
"7.1200","0.5936","0.5204"
"7.1400","0.5952","0.5217"
"7.1600","0.5968","0.5229"
"7.1800","0.5984","0.5240"
"7.2000","0.6001","0.5252"
"7.2200","0.6017","0.5264"
"7.2400","0.6035","0.5277"
"7.2600","0.6053","0.5291"
"7.2800","0.6070","0.5305"
"7.3000","0.6087","0.5319"
"7.3200","0.6101","0.5331"
"7.3400","0.6116","0.5342"
"7.3600","0.6133","0.5353"
"7.3800","0.6148","0.5364"
"7.4000","0.6164","0.5375"
"7.4200","0.6181","0.5387"
"7.4400","0.6199","0.5399"
"7.4600","0.6217","0.5413"
"7.4800","0.6235","0.5427"
"7.5000","0.6252","0.5441"
"7.5200","0.6268","0.5454"
"7.5400","0.6284","0.5466"
"7.5600","0.6301","0.5478"
"7.5800","0.6317","0.5491"
"7.6000","0.6334","0.5503"
"7.6200","0.6350","0.5514"
"7.6400","0.6368","0.5527"
"7.6600","0.6383","0.5540"
"7.6800","0.6399","0.5552"
"7.7000","0.6415","0.5563"
"7.7200","0.6432","0.5574"
"7.7400","0.6448","0.5586"
"7.7600","0.6467","0.5598"
"7.7800","0.6485","0.5612"
"7.8000","0.6502","0.5625"
"7.8200","0.6520","0.5639"
"7.8400","0.6538","0.5653"
"7.8600","0.6553","0.5666"
"7.8800","0.6569","0.5678"
"7.9000","0.6585","0.5688"
"7.9200","0.6600","0.5698"
"7.9400","0.6616","0.5709"
"7.9600","0.6632","0.5719"
"7.9800","0.6649","0.5730"
"8.0000","0.6667","0.5743"
"8.0200","0.6683","0.5756"
"8.0400","0.6701","0.5769"
"8.0600","0.6716","0.5781"
"8.0800","0.6733","0.5792"
"8.1000","0.6749","0.5803"
"8.1200","0.6767","0.5816"
"8.1400","0.6783","0.5829"
"8.1600","0.6801","0.5841"
"8.1800","0.6818","0.5853"
"8.2000","0.6833","0.5866"
"8.2200","0.6848","0.5876"
"8.2400","0.6865","0.5886"
"8.2600","0.6881","0.5897"
"8.2800","0.6898","0.5909"
"8.3000","0.6917","0.5921"
"8.3200","0.6933","0.5934"
"8.3400","0.6951","0.5947"
"8.3600","0.6969","0.5960"
"8.3800","0.6985","0.5973"
"8.4000","0.7001","0.5985"
"8.4200","0.7017","0.5996"
"8.4400","0.7035","0.6006"
"8.4600","0.7050","0.6018"
"8.4800","0.7067","0.6029"
"8.5000","0.7085","0.6041"
"8.5200","0.7101","0.6052"
"8.5400","0.7119","0.6065"
"8.5600","0.7135","0.6077"
"8.5800","0.7153","0.6089"
"8.6000","0.7170","0.6102"
"8.6200","0.7187","0.6114"
"8.6400","0.7205","0.6126"
"8.6600","0.7221","0.6139"
"8.6800","0.7237","0.6150"
"8.7000","0.7253","0.6161"
"8.7200","0.7270","0.6172"
"8.7400","0.7284","0.6182"
"8.7600","0.7299","0.6191"
"8.7800","0.7315","0.6201"
"8.8000","0.7331","0.6211"
"8.8200","0.7348","0.6221"
"8.8400","0.7367","0.6233"
"8.8600","0.7384","0.6246"
"8.8800","0.7402","0.6259"
"8.9000","0.7421","0.6273"
"8.9200","0.7436","0.6286"
"8.9400","0.7450","0.6297"
"8.9600","0.7466","0.6306"
"8.9800","0.7482","0.6315"
"9.0000","0.7498","0.6325"
"9.0200","0.7513","0.6335"
"9.0400","0.7530","0.6345"
"9.0600","0.7547","0.6356"
"9.0800","0.7565","0.6368"
"9.1000","0.7582","0.6380"
"9.1200","0.7599","0.6392"
"9.1400","0.7616","0.6404"
"9.1600","0.7635","0.6416"
"9.1800","0.7652","0.6429"
"9.2000","0.7668","0.6441"
"9.2200","0.7684","0.6452"
"9.2400","0.7702","0.6462"
