Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
10,"50.00","1.72","2.98","572.24","5.96","2.98","25218.12","2.97","1.72"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0719"
"0.0200","0.0000","-0.0719"
"0.0400","0.0002","-0.0719"
"0.0600","0.0004","-0.0718"
"0.0800","0.0011","-0.0718"
"0.1000","0.0027","-0.0711"
"0.1200","0.0055","-0.0689"
"0.1400","0.0089","-0.0646"
"0.1600","0.0118","-0.0589"
"0.1800","0.0143","-0.0534"
"0.2000","0.0163","-0.0489"
"0.2200","0.0181","-0.0453"
"0.2400","0.0198","-0.0423"
"0.2600","0.0215","-0.0395"
"0.2800","0.0231","-0.0369"
"0.3000","0.0250","-0.0342"
"0.3200","0.0267","-0.0315"
"0.3400","0.0283","-0.0288"
"0.3600","0.0301","-0.0261"
"0.3800","0.0318","-0.0234"
"0.4000","0.0335","-0.0207"
"0.4200","0.0353","-0.0180"
"0.4400","0.0370","-0.0152"
"0.4600","0.0386","-0.0125"
"0.4800","0.0403","-0.0099"
"0.5000","0.0419","-0.0073"
"0.5200","0.0433","-0.0048"
"0.5400","0.0449","-0.0025"
"0.5600","0.0465","-0.0002"
"0.5800","0.0482","0.0021"
"0.6000","0.0499","0.0043"
"0.6200","0.0517","0.0065"
"0.6400","0.0536","0.0084"
"0.6600","0.0554","0.0099"
"0.6800","0.0571","0.0108"
"0.7000","0.0588","0.0116"
"0.7200","0.0603","0.0128"
"0.7400","0.0619","0.0147"
"0.7600","0.0635","0.0170"
"0.7800","0.0650","0.0192"
"0.8000","0.0666","0.0215"
"0.8200","0.0682","0.0236"
"0.8400","0.0700","0.0258"
"0.8600","0.0717","0.0281"
"0.8800","0.0732","0.0304"
"0.9000","0.0750","0.0328"
"0.9200","0.0767","0.0353"
"0.9400","0.0785","0.0379"
"0.9600","0.0803","0.0405"
"0.9800","0.0819","0.0431"
"1.0000","0.0836","0.0457"
"1.0200","0.0854","0.0481"
"1.0400","0.0870","0.0507"
"1.0600","0.0884","0.0531"
"1.0800","0.0900","0.0553"
"1.1000","0.0915","0.0575"
"1.1200","0.0933","0.0599"
"1.1400","0.0950","0.0625"
"1.1600","0.0969","0.0653"
"1.1800","0.0988","0.0680"
"1.2000","0.1005","0.0709"
"1.2200","0.1021","0.0736"
"1.2400","0.1038","0.0762"
"1.2600","0.1052","0.0787"
"1.2800","0.1067","0.0809"
"1.3000","0.1084","0.0832"
"1.3200","0.1101","0.0857"
"1.3400","0.1117","0.0883"
"1.3600","0.1135","0.0908"
"1.3800","0.1152","0.0934"
"1.4000","0.1169","0.0961"
"1.4200","0.1185","0.0987"
"1.4400","0.1202","0.1013"
"1.4600","0.1221","0.1039"
"1.4800","0.1238","0.1067"
"1.5000","0.1256","0.1095"
"1.5200","0.1273","0.1122"
"1.5400","0.1288","0.1148"
"1.5600","0.1303","0.1171"
"1.5800","0.1319","0.1194"
"1.6000","0.1334","0.1218"
"1.6200","0.1349","0.1240"
"1.6400","0.1366","0.1263"
"1.6600","0.1382","0.1288"
"1.6800","0.1400","0.1314"
"1.7000","0.1419","0.1341"
"1.7200","0.1437","0.1369"
"1.7400","0.1454","0.1397"
"1.7600","0.1471","0.1424"
"1.7800","0.1489","0.1450"
"1.8000","0.1503","0.1476"
"1.8200","0.1519","0.1500"
"1.8400","0.1536","0.1522"
"1.8600","0.1551","0.1546"
"1.8800","0.1568","0.1571"
"1.9000","0.1584","0.1595"
"1.9200","0.1601","0.1619"
"1.9400","0.1617","0.1643"
"1.9600","0.1634","0.1668"
"1.9800","0.1650","0.1693"
"2.0000","0.1669","0.1718"
"2.0200","0.1687","0.1745"
"2.0400","0.1705","0.1771"
"2.0600","0.1721","0.1798"
"2.0800","0.1737","0.1823"
"2.1000","0.1753","0.1847"
"2.1200","0.1770","0.1870"
"2.1400","0.1785","0.1894"
"2.1600","0.1800","0.1918"
"2.1800","0.1817","0.1941"
"2.2000","0.1833","0.1965"
"2.2200","0.1851","0.1990"
"2.2400","0.1868","0.2016"
"2.2600","0.1885","0.2042"
"2.2800","0.1902","0.2069"
"2.3000","0.1918","0.2094"
"2.3200","0.1935","0.2119"
"2.3400","0.1950","0.2144"
"2.3600","0.1967","0.2167"
"2.3800","0.1983","0.2191"
"2.4000","0.2001","0.2217"
"2.4200","0.2016","0.2243"
"2.4400","0.2033","0.2268"
"2.4600","0.2051","0.2293"
"2.4800","0.2067","0.2319"
"2.5000","0.2082","0.2344"
"2.5200","0.2101","0.2369"
"2.5400","0.2119","0.2395"
"2.5600","0.2137","0.2423"
"2.5800","0.2155","0.2450"
"2.6000","0.2171","0.2477"
"2.6200","0.2188","0.2503"
"2.6400","0.2203","0.2528"
"2.6600","0.2219","0.2551"
"2.6800","0.2235","0.2575"
"2.7000","0.2250","0.2599"
"2.7200","0.2267","0.2623"
"2.7400","0.2284","0.2648"
"2.7600","0.2302","0.2674"
"2.7800","0.2320","0.2701"
"2.8000","0.2337","0.2729"
"2.8200","0.2354","0.2756"
"2.8400","0.2371","0.2781"
"2.8600","0.2387","0.2806"
"2.8800","0.2402","0.2831"
"2.9000","0.2419","0.2854"
"2.9200","0.2437","0.2879"
"2.9400","0.2453","0.2905"
"2.9600","0.2470","0.2931"
"2.9800","0.2485","0.2955"
"3.0000","0.2500","0.2979"
"3.0200","0.2516","0.3002"
"3.0400","0.2532","0.3025"
"3.0600","0.2550","0.3049"
"3.0800","0.2567","0.3075"
"3.1000","0.2584","0.3101"
"3.1200","0.2603","0.3128"
"3.1400","0.2620","0.3155"
"3.1600","0.2636","0.3182"
"3.1800","0.2652","0.3206"
"3.2000","0.2668","0.3230"
"3.2200","0.2683","0.3254"
"3.2400","0.2699","0.3277"
"3.2600","0.2716","0.3301"
"3.2800","0.2734","0.3326"
"3.3000","0.2752","0.3353"
"3.3200","0.2771","0.3381"
"3.3400","0.2788","0.3408"
"3.3600","0.2804","0.3435"
"3.3800","0.2820","0.3460"
"3.4000","0.2838","0.3484"
"3.4200","0.2853","0.3508"
"3.4400","0.2869","0.3532"
"3.4600","0.2886","0.3556"
"3.4800","0.2903","0.3581"
"3.5000","0.2918","0.3606"
"3.5200","0.2934","0.3629"
"3.5400","0.2949","0.3652"
"3.5600","0.2966","0.3674"
"3.5800","0.2982","0.3698"
"3.6000","0.3000","0.3722"
"3.6200","0.3017","0.3749"
"3.6400","0.3035","0.3776"
"3.6600","0.3054","0.3802"
"3.6800","0.3071","0.3830"
"3.7000","0.3086","0.3856"
"3.7200","0.3101","0.3880"
"3.7400","0.3117","0.3902"
"3.7600","0.3132","0.3925"
"3.7800","0.3147","0.3946"
"3.8000","0.3164","0.3968"
"3.8200","0.3182","0.3992"
"3.8400","0.3199","0.4018"
"3.8600","0.3217","0.4044"
"3.8800","0.3235","0.4070"
"3.9000","0.3250","0.4095"
"3.9200","0.3268","0.4120"
"3.9400","0.3285","0.4144"
"3.9600","0.3302","0.4170"
"3.9800","0.3319","0.4195"
"4.0000","0.3336","0.4220"
"4.0200","0.3353","0.4245"
"4.0400","0.3368","0.4270"
"4.0600","0.3383","0.4293"
"4.0800","0.3400","0.4315"
"4.1000","0.3417","0.4338"
"4.1200","0.3433","0.4362"
"4.1400","0.3452","0.4387"
"4.1600","0.3471","0.4414"
"4.1800","0.3490","0.4442"
"4.2000","0.3507","0.4470"
"4.2200","0.3523","0.4496"
"4.2400","0.3537","0.4520"
"4.2600","0.3552","0.4541"
"4.2800","0.3568","0.4561"
"4.3000","0.3583","0.4584"
"4.3200","0.3600","0.4606"
"4.3400","0.3616","0.4629"
"4.3600","0.3634","0.4654"
"4.3800","0.3651","0.4680"
"4.4000","0.3669","0.4706"
"4.4200","0.3687","0.4732"
"4.4400","0.3702","0.4757"
"4.4600","0.3720","0.4781"
"4.4800","0.3736","0.4805"
"4.5000","0.3752","0.4830"
"4.5200","0.3768","0.4853"
"4.5400","0.3785","0.4875"
"4.5600","0.3801","0.4899"
"4.5800","0.3816","0.4922"
"4.6000","0.3832","0.4944"
"4.6200","0.3849","0.4966"
"4.6400","0.3866","0.4990"
"4.6600","0.3884","0.5015"
"4.6800","0.3903","0.5041"
"4.7000","0.3922","0.5068"
"4.7200","0.3940","0.5096"
"4.7400","0.3957","0.5122"
"4.7600","0.3971","0.5147"
