Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
7,"50.00","1.12","8.67","372.98","17.34","8.67","10890.49","8.67","1.12"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0024"
"0.0200","0.0001","0.0024"
"0.0400","0.0002","0.0025"
"0.0600","0.0004","0.0025"
"0.0800","0.0009","0.0025"
"0.1000","0.0026","0.0028"
"0.1200","0.0054","0.0040"
"0.1400","0.0090","0.0064"
"0.1600","0.0120","0.0094"
"0.1800","0.0144","0.0122"
"0.2000","0.0164","0.0144"
"0.2200","0.0182","0.0161"
"0.2400","0.0198","0.0175"
"0.2600","0.0215","0.0187"
"0.2800","0.0231","0.0200"
"0.3000","0.0250","0.0213"
"0.3200","0.0268","0.0227"
"0.3400","0.0286","0.0240"
"0.3600","0.0302","0.0253"
"0.3800","0.0319","0.0266"
"0.4000","0.0336","0.0279"
"0.4200","0.0353","0.0292"
"0.4400","0.0368","0.0304"
"0.4600","0.0385","0.0314"
"0.4800","0.0403","0.0326"
"0.5000","0.0418","0.0338"
"0.5200","0.0434","0.0350"
"0.5400","0.0450","0.0362"
"0.5600","0.0466","0.0374"
"0.5800","0.0484","0.0385"
"0.6000","0.0501","0.0397"
"0.6200","0.0519","0.0409"
"0.6400","0.0537","0.0423"
"0.6600","0.0555","0.0437"
"0.6800","0.0571","0.0450"
"0.7000","0.0587","0.0461"
"0.7200","0.0601","0.0471"
"0.7400","0.0617","0.0482"
"0.7600","0.0635","0.0493"
"0.7800","0.0650","0.0505"
"0.8000","0.0667","0.0516"
"0.8200","0.0685","0.0528"
"0.8400","0.0701","0.0540"
"0.8600","0.0718","0.0552"
"0.8800","0.0734","0.0564"
"0.9000","0.0751","0.0575"
"0.9200","0.0767","0.0587"
"0.9400","0.0784","0.0598"
"0.9600","0.0802","0.0610"
"0.9800","0.0817","0.0621"
"1.0000","0.0833","0.0632"
"1.0200","0.0851","0.0644"
"1.0400","0.0868","0.0656"
"1.0600","0.0883","0.0668"
"1.0800","0.0900","0.0678"
"1.1000","0.0916","0.0688"
"1.1200","0.0934","0.0700"
"1.1400","0.0950","0.0712"
"1.1600","0.0969","0.0724"
"1.1800","0.0986","0.0736"
"1.2000","0.1003","0.0748"
"1.2200","0.1020","0.0760"
"1.2400","0.1035","0.0772"
"1.2600","0.1051","0.0782"
"1.2800","0.1067","0.0793"
"1.3000","0.1084","0.0803"
"1.3200","0.1100","0.0815"
"1.3400","0.1117","0.0825"
"1.3600","0.1135","0.0837"
"1.3800","0.1152","0.0849"
"1.4000","0.1169","0.0861"
"1.4200","0.1185","0.0873"
"1.4400","0.1203","0.0884"
"1.4600","0.1220","0.0895"
"1.4800","0.1237","0.0906"
"1.5000","0.1255","0.0918"
"1.5200","0.1270","0.0930"
"1.5400","0.1288","0.0941"
"1.5600","0.1305","0.0952"
"1.5800","0.1320","0.0963"
"1.6000","0.1335","0.0973"
"1.6200","0.1351","0.0983"
"1.6400","0.1367","0.0993"
"1.6600","0.1384","0.1004"
"1.6800","0.1401","0.1015"
"1.7000","0.1419","0.1026"
"1.7200","0.1436","0.1038"
"1.7400","0.1453","0.1050"
"1.7600","0.1471","0.1062"
"1.7800","0.1486","0.1073"
"1.8000","0.1502","0.1084"
"1.8200","0.1518","0.1093"
"1.8400","0.1535","0.1103"
"1.8600","0.1550","0.1114"
"1.8800","0.1567","0.1125"
"1.9000","0.1584","0.1136"
"1.9200","0.1602","0.1147"
"1.9400","0.1617","0.1159"
"1.9600","0.1635","0.1170"
"1.9800","0.1652","0.1180"
"2.0000","0.1668","0.1191"
"2.0200","0.1686","0.1202"
"2.0400","0.1704","0.1214"
"2.0600","0.1720","0.1226"
"2.0800","0.1738","0.1237"
"2.1000","0.1754","0.1248"
"2.1200","0.1768","0.1258"
"2.1400","0.1784","0.1268"
"2.1600","0.1799","0.1277"
"2.1800","0.1816","0.1287"
"2.2000","0.1833","0.1297"
"2.2200","0.1851","0.1309"
"2.2400","0.1870","0.1321"
"2.2600","0.1887","0.1333"
"2.2800","0.1904","0.1345"
"2.3000","0.1922","0.1356"
"2.3200","0.1936","0.1367"
"2.3400","0.1951","0.1377"
"2.3600","0.1968","0.1385"
"2.3800","0.1983","0.1395"
"2.4000","0.1999","0.1405"
"2.4200","0.2015","0.1415"
"2.4400","0.2032","0.1425"
"2.4600","0.2048","0.1436"
"2.4800","0.2065","0.1446"
"2.5000","0.2082","0.1457"
