Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
17,"50.00","1.29","7.93","429.93","15.85","7.93","14807.02","8.04","1.29"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0197"
"0.0200","0.0000","-0.0197"
"0.0400","0.0002","-0.0196"
"0.0600","0.0004","-0.0197"
"0.0800","0.0013","-0.0196"
"0.1000","0.0034","-0.0188"
"0.1200","0.0065","-0.0167"
"0.1400","0.0096","-0.0133"
"0.1600","0.0120","-0.0096"
"0.1800","0.0143","-0.0065"
"0.2000","0.0161","-0.0043"
"0.2200","0.0178","-0.0030"
"0.2400","0.0195","-0.0023"
"0.2600","0.0211","-0.0018"
"0.2800","0.0228","-0.0015"
"0.3000","0.0246","-0.0011"
"0.3200","0.0264","-0.0006"
"0.3400","0.0282","-0.0001"
"0.3600","0.0301","0.0002"
"0.3800","0.0320","0.0005"
"0.4000","0.0336","0.0011"
"0.4200","0.0352","0.0021"
"0.4400","0.0368","0.0034"
"0.4600","0.0384","0.0048"
"0.4800","0.0399","0.0062"
"0.5000","0.0416","0.0072"
"0.5200","0.0433","0.0082"
"0.5400","0.0451","0.0094"
"0.5600","0.0469","0.0107"
"0.5800","0.0486","0.0120"
"0.6000","0.0503","0.0134"
"0.6200","0.0519","0.0147"
"0.6400","0.0536","0.0159"
"0.6600","0.0551","0.0173"
"0.6800","0.0568","0.0186"
"0.7000","0.0584","0.0200"
"0.7200","0.0602","0.0215"
"0.7400","0.0617","0.0230"
"0.7600","0.0634","0.0244"
"0.7800","0.0650","0.0258"
"0.8000","0.0667","0.0273"
"0.8200","0.0684","0.0287"
"0.8400","0.0700","0.0301"
"0.8600","0.0718","0.0316"
"0.8800","0.0735","0.0331"
"0.9000","0.0753","0.0347"
"0.9200","0.0771","0.0362"
"0.9400","0.0786","0.0377"
"0.9600","0.0802","0.0391"
"0.9800","0.0818","0.0405"
"1.0000","0.0833","0.0419"
"1.0200","0.0849","0.0433"
"1.0400","0.0865","0.0446"
"1.0600","0.0882","0.0461"
"1.0800","0.0901","0.0476"
"1.1000","0.0918","0.0492"
"1.1200","0.0936","0.0509"
"1.1400","0.0953","0.0526"
"1.1600","0.0968","0.0541"
"1.1800","0.0985","0.0555"
"1.2000","0.1001","0.0570"
"1.2200","0.1016","0.0585"
"1.2400","0.1034","0.0599"
"1.2600","0.1051","0.0614"
"1.2800","0.1067","0.0630"
"1.3000","0.1083","0.0645"
"1.3200","0.1099","0.0659"
"1.3400","0.1116","0.0674"
"1.3600","0.1132","0.0689"
"1.3800","0.1149","0.0704"
"1.4000","0.1166","0.0720"
"1.4200","0.1184","0.0736"
"1.4400","0.1202","0.0753"
"1.4600","0.1220","0.0770"
"1.4800","0.1235","0.0786"
"1.5000","0.1250","0.0801"
"1.5200","0.1267","0.0815"
"1.5400","0.1282","0.0829"
"1.5600","0.1297","0.0844"
"1.5800","0.1314","0.0858"
"1.6000","0.1332","0.0871"
"1.6200","0.1349","0.0885"
"1.6400","0.1366","0.0901"
"1.6600","0.1384","0.0917"
"1.6800","0.1399","0.0933"
"1.7000","0.1415","0.0948"
"1.7200","0.1432","0.0963"
"1.7400","0.1450","0.0978"
"1.7600","0.1465","0.0994"
"1.7800","0.1484","0.1009"
"1.8000","0.1502","0.1025"
"1.8200","0.1517","0.1042"
"1.8400","0.1532","0.1057"
"1.8600","0.1549","0.1071"
"1.8800","0.1567","0.1086"
"1.9000","0.1582","0.1101"
"1.9200","0.1600","0.1116"
"1.9400","0.1619","0.1132"
"1.9600","0.1636","0.1149"
"1.9800","0.1654","0.1166"
"2.0000","0.1670","0.1182"
"2.0200","0.1686","0.1198"
"2.0400","0.1701","0.1211"
"2.0600","0.1718","0.1224"
"2.0800","0.1734","0.1239"
"2.1000","0.1751","0.1254"
"2.1200","0.1766","0.1268"
"2.1400","0.1784","0.1282"
"2.1600","0.1802","0.1297"
"2.1800","0.1818","0.1312"
"2.2000","0.1836","0.1327"
"2.2200","0.1851","0.1342"
"2.2400","0.1868","0.1355"
"2.2600","0.1885","0.1370"
"2.2800","0.1902","0.1385"
"2.3000","0.1918","0.1399"
"2.3200","0.1936","0.1413"
"2.3400","0.1953","0.1427"
"2.3600","0.1967","0.1441"
"2.3800","0.1982","0.1453"
"2.4000","0.1997","0.1465"
"2.4200","0.2014","0.1477"
"2.4400","0.2031","0.1491"
"2.4600","0.2047","0.1506"
"2.4800","0.2066","0.1521"
"2.5000","0.2084","0.1537"
"2.5200","0.2103","0.1554"
"2.5400","0.2120","0.1571"
"2.5600","0.2134","0.1587"
"2.5800","0.2150","0.1601"
"2.6000","0.2167","0.1614"
"2.6200","0.2183","0.1629"
"2.6400","0.2198","0.1643"
"2.6600","0.2215","0.1656"
"2.6800","0.2232","0.1670"
"2.7000","0.2250","0.1686"
"2.7200","0.2267","0.1701"
"2.7400","0.2284","0.1717"
"2.7600","0.2302","0.1733"
"2.7800","0.2319","0.1748"
"2.8000","0.2336","0.1764"
"2.8200","0.2353","0.1779"
"2.8400","0.2368","0.1793"
"2.8600","0.2385","0.1807"
"2.8800","0.2401","0.1821"
"2.9000","0.2415","0.1836"
"2.9200","0.2431","0.1848"
"2.9400","0.2446","0.1861"
"2.9600","0.2464","0.1874"
"2.9800","0.2480","0.1889"
"3.0000","0.2498","0.1904"
"3.0200","0.2517","0.1920"
"3.0400","0.2535","0.1937"
"3.0600","0.2552","0.1953"
"3.0800","0.2570","0.1969"
"3.1000","0.2584","0.1984"
"3.1200","0.2600","0.1997"
"3.1400","0.2615","0.2009"
"3.1600","0.2631","0.2023"
"3.1800","0.2647","0.2036"
"3.2000","0.2663","0.2049"
"3.2200","0.2682","0.2063"
"3.2400","0.2700","0.2079"
"3.2600","0.2716","0.2096"
"3.2800","0.2734","0.2111"
"3.3000","0.2751","0.2126"
"3.3200","0.2767","0.2141"
"3.3400","0.2785","0.2156"
"3.3600","0.2803","0.2171"
"3.3800","0.2819","0.2185"
"3.4000","0.2836","0.2200"
"3.4200","0.2852","0.2214"
"3.4400","0.2866","0.2228"
"3.4600","0.2882","0.2240"
"3.4800","0.2898","0.2253"
"3.5000","0.2916","0.2266"
"3.5200","0.2934","0.2281"
"3.5400","0.2953","0.2297"
"3.5600","0.2970","0.2313"
"3.5800","0.2988","0.2330"
"3.6000","0.3005","0.2345"
"3.6200","0.3021","0.2359"
"3.6400","0.3035","0.2372"
"3.6600","0.3051","0.2384"
