Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
15,"50.00","1.65","3.07","550.04","6.14","3.07","24140.14","3.06","1.65"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0891"
"0.0200","0.0001","-0.0891"
"0.0400","0.0002","-0.0891"
"0.0600","0.0004","-0.0892"
"0.0800","0.0008","-0.0891"
"0.1000","0.0024","-0.0886"
"0.1200","0.0053","-0.0865"
"0.1400","0.0087","-0.0824"
"0.1600","0.0117","-0.0769"
"0.1800","0.0140","-0.0714"
"0.2000","0.0161","-0.0669"
"0.2200","0.0178","-0.0635"
"0.2400","0.0196","-0.0606"
"0.2600","0.0214","-0.0577"
"0.2800","0.0231","-0.0549"
"0.3000","0.0250","-0.0521"
"0.3200","0.0268","-0.0491"
"0.3400","0.0286","-0.0462"
"0.3600","0.0302","-0.0434"
"0.3800","0.0319","-0.0407"
"0.4000","0.0334","-0.0382"
"0.4200","0.0351","-0.0357"
"0.4400","0.0366","-0.0333"
"0.4600","0.0381","-0.0308"
"0.4800","0.0398","-0.0284"
"0.5000","0.0414","-0.0259"
"0.5200","0.0431","-0.0233"
"0.5400","0.0447","-0.0207"
"0.5600","0.0465","-0.0182"
"0.5800","0.0483","-0.0155"
"0.6000","0.0501","-0.0127"
"0.6200","0.0518","-0.0100"
"0.6400","0.0535","-0.0072"
"0.6600","0.0551","-0.0046"
"0.6800","0.0568","-0.0020"
"0.7000","0.0584","0.0005"
"0.7200","0.0599","0.0029"
"0.7400","0.0615","0.0051"
"0.7600","0.0632","0.0074"
"0.7800","0.0649","0.0098"
"0.8000","0.0667","0.0123"
"0.8200","0.0685","0.0148"
"0.8400","0.0704","0.0174"
"0.8600","0.0720","0.0200"
"0.8800","0.0738","0.0221"
"0.9000","0.0753","0.0235"
"0.9200","0.0769","0.0235"
"0.9400","0.0784","0.0226"
"0.9600","0.0800","0.0226"
"0.9800","0.0817","0.0242"
"1.0000","0.0833","0.0271"
"1.0200","0.0850","0.0305"
"1.0400","0.0867","0.0332"
"1.0600","0.0884","0.0349"
"1.0800","0.0901","0.0364"
"1.1000","0.0918","0.0386"
"1.1200","0.0936","0.0417"
"1.1400","0.0954","0.0447"
"1.1600","0.0972","0.0471"
"1.1800","0.0988","0.0490"
"1.2000","0.1003","0.0510"
"1.2200","0.1020","0.0534"
"1.2400","0.1035","0.0561"
"1.2600","0.1050","0.0585"
"1.2800","0.1065","0.0604"
"1.3000","0.1081","0.0622"
"1.3200","0.1099","0.0644"
"1.3400","0.1118","0.0672"
"1.3600","0.1136","0.0701"
"1.3800","0.1153","0.0728"
"1.4000","0.1170","0.0750"
"1.4200","0.1186","0.0772"
"1.4400","0.1203","0.0797"
"1.4600","0.1218","0.0824"
"1.4800","0.1235","0.0846"
"1.5000","0.1251","0.0866"
"1.5200","0.1268","0.0887"
"1.5400","0.1283","0.0911"
"1.5600","0.1300","0.0936"
"1.5800","0.1317","0.0961"
"1.6000","0.1334","0.0985"
"1.6200","0.1349","0.1008"
"1.6400","0.1368","0.1031"
"1.6600","0.1385","0.1058"
"1.6800","0.1401","0.1084"
"1.7000","0.1420","0.1108"
"1.7200","0.1437","0.1133"
"1.7400","0.1452","0.1157"
"1.7600","0.1469","0.1182"
"1.7800","0.1485","0.1205"
"1.8000","0.1499","0.1228"
"1.8200","0.1516","0.1249"
"1.8400","0.1532","0.1271"
"1.8600","0.1550","0.1295"
"1.8800","0.1568","0.1321"
"1.9000","0.1585","0.1347"
"1.9200","0.1602","0.1372"
"1.9400","0.1619","0.1398"
"1.9600","0.1635","0.1422"
"1.9800","0.1652","0.1446"
"2.0000","0.1666","0.1470"
"2.0200","0.1682","0.1492"
"2.0400","0.1699","0.1515"
"2.0600","0.1717","0.1539"
"2.0800","0.1732","0.1564"
"2.1000","0.1750","0.1588"
"2.1200","0.1766","0.1612"
"2.1400","0.1783","0.1637"
"2.1600","0.1799","0.1661"
"2.1800","0.1817","0.1685"
"2.2000","0.1835","0.1711"
"2.2200","0.1852","0.1736"
"2.2400","0.1871","0.1762"
"2.2600","0.1888","0.1789"
"2.2800","0.1903","0.1814"
"2.3000","0.1920","0.1837"
"2.3200","0.1935","0.1860"
"2.3400","0.1950","0.1883"
"2.3600","0.1966","0.1905"
"2.3800","0.1982","0.1928"
"2.4000","0.2000","0.1951"
