Results Table 1
,Tensile strain (Displacement) gauge length,Maximum Force,Displacement at Maximum Force,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Tensile displacement at Maximum Force,Modulus (Automatic Young's),Displacement at Tensile strength,Force at Tensile strength
,(mm),(kN),(mm),(MPa),(%),(mm),(MPa),(mm),(kN)
11,"50.00","1.69","3.74","562.38","7.48","3.74","23998.00","3.79","1.69"
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-0.0002","-0.0029"
"0.0200","-0.0002","-0.0030"
"0.0400","0.0000","-0.0030"
"0.0600","0.0001","-0.0030"
"0.0800","0.0002","-0.0029"
"0.1000","0.0008","-0.0028"
"0.1200","0.0030","-0.0020"
"0.1400","0.0065","0.0007"
"0.1600","0.0100","0.0058"
"0.1800","0.0130","0.0119"
"0.2000","0.0152","0.0174"
"0.2200","0.0172","0.0216"
"0.2400","0.0192","0.0250"
"0.2600","0.0211","0.0281"
"0.2800","0.0229","0.0311"
"0.3000","0.0247","0.0340"
"0.3200","0.0264","0.0369"
"0.3400","0.0282","0.0397"
"0.3600","0.0300","0.0425"
"0.3800","0.0316","0.0453"
"0.4000","0.0334","0.0479"
"0.4200","0.0352","0.0507"
"0.4400","0.0366","0.0533"
"0.4600","0.0381","0.0558"
"0.4800","0.0398","0.0581"
"0.5000","0.0413","0.0605"
"0.5200","0.0431","0.0629"
"0.5400","0.0449","0.0655"
"0.5600","0.0467","0.0681"
"0.5800","0.0485","0.0706"
"0.6000","0.0503","0.0730"
"0.6200","0.0519","0.0755"
"0.6400","0.0534","0.0778"
"0.6600","0.0549","0.0798"
"0.6800","0.0565","0.0819"
"0.7000","0.0582","0.0840"
"0.7200","0.0597","0.0861"
"0.7400","0.0614","0.0882"
"0.7600","0.0632","0.0904"
"0.7800","0.0649","0.0928"
"0.8000","0.0667","0.0952"
"0.8200","0.0684","0.0976"
"0.8400","0.0701","0.1001"
"0.8600","0.0718","0.1025"
"0.8800","0.0735","0.1049"
"0.9000","0.0751","0.1074"
"0.9200","0.0766","0.1096"
"0.9400","0.0783","0.1118"
"0.9600","0.0799","0.1140"
"0.9800","0.0813","0.1164"
"1.0000","0.0829","0.1185"
"1.0200","0.0845","0.1207"
"1.0400","0.0863","0.1230"
"1.0600","0.0881","0.1254"
"1.0800","0.0898","0.1279"
"1.1000","0.0916","0.1305"
"1.1200","0.0934","0.1331"
"1.1400","0.0952","0.1357"
"1.1600","0.0968","0.1381"
"1.1800","0.0982","0.1405"
"1.2000","0.0999","0.1428"
"1.2200","0.1015","0.1450"
"1.2400","0.1032","0.1474"
"1.2600","0.1048","0.1499"
"1.2800","0.1065","0.1523"
"1.3000","0.1083","0.1547"
"1.3200","0.1100","0.1572"
"1.3400","0.1117","0.1598"
"1.3600","0.1135","0.1622"
"1.3800","0.1151","0.1647"
"1.4000","0.1168","0.1671"
"1.4200","0.1185","0.1695"
"1.4400","0.1202","0.1720"
"1.4600","0.1218","0.1744"
"1.4800","0.1235","0.1768"
"1.5000","0.1251","0.1793"
"1.5200","0.1267","0.1817"
"1.5400","0.1282","0.1840"
"1.5600","0.1299","0.1862"
"1.5800","0.1316","0.1886"
"1.6000","0.1334","0.1911"
"1.6200","0.1352","0.1936"
"1.6400","0.1369","0.1962"
"1.6600","0.1385","0.1988"
"1.6800","0.1401","0.2012"
"1.7000","0.1417","0.2034"
"1.7200","0.1431","0.2057"
"1.7400","0.1446","0.2078"
"1.7600","0.1463","0.2099"
"1.7800","0.1480","0.2123"
"1.8000","0.1497","0.2147"
"1.8200","0.1513","0.2172"
"1.8400","0.1532","0.2197"
"1.8600","0.1549","0.2223"
"1.8800","0.1567","0.2249"
"1.9000","0.1584","0.2275"
"1.9200","0.1601","0.2300"
"1.9400","0.1619","0.2325"
"1.9600","0.1636","0.2350"
"1.9800","0.1653","0.2375"
"2.0000","0.1669","0.2400"
"2.0200","0.1686","0.2424"
"2.0400","0.1701","0.2448"
"2.0600","0.1717","0.2472"
"2.0800","0.1732","0.2493"
